x-axis,1
second,Volt
+90.00000E-03,
+90.03200E-03,
+90.06400E-03,
+90.09600E-03,
+90.12800E-03,
+90.16000E-03,
+90.19200E-03,
+90.22400E-03,
+90.25600E-03,
+90.28800E-03,
+90.32000E-03,
+90.35200E-03,
+90.38400E-03,
+90.41600E-03,
+90.44800E-03,
+90.48000E-03,
+90.51200E-03,
+90.54400E-03,
+90.57600E-03,
+90.60800E-03,
+90.64000E-03,+2.43128141E+00
+90.67200E-03,+2.42751256E+00
+90.70400E-03,+2.42701005E+00
+90.73600E-03,+2.43128141E+00
+90.76800E-03,+2.43505025E+00
+90.80000E-03,+2.43555276E+00
+90.83200E-03,+2.43128141E+00
+90.86400E-03,+2.43505025E+00
+90.89600E-03,+2.43555276E+00
+90.92800E-03,+2.43128141E+00
+90.96000E-03,+2.42751256E+00
+90.99200E-03,+2.42701005E+00
+91.02400E-03,+2.43128141E+00
+91.05600E-03,+2.42751256E+00
+91.08800E-03,+2.42701005E+00
+91.12000E-03,+2.43128141E+00
+91.15200E-03,+2.43128141E+00
+91.18400E-03,+2.43128141E+00
+91.21600E-03,+2.43128141E+00
+91.24800E-03,+2.43128141E+00
+91.28000E-03,+2.43128141E+00
+91.31200E-03,+2.43128141E+00
+91.34400E-03,+2.43128141E+00
+91.37600E-03,+2.42751256E+00
+91.40800E-03,+2.42324121E+00
+91.44000E-03,+2.42701005E+00
+91.47200E-03,+2.43128141E+00
+91.50400E-03,+2.42751256E+00
+91.53600E-03,+2.42701005E+00
+91.56800E-03,+2.42751256E+00
+91.60000E-03,+2.42701005E+00
+91.63200E-03,+2.43128141E+00
+91.66400E-03,+2.43128141E+00
+91.69600E-03,+2.43128141E+00
+91.72800E-03,+2.42751256E+00
+91.76000E-03,+2.42324121E+00
+91.79200E-03,+2.42701005E+00
+91.82400E-03,+2.42751256E+00
+91.85600E-03,+2.42324121E+00
+91.88800E-03,+2.42324121E+00
+91.92000E-03,+2.42324121E+00
+91.95200E-03,+2.42324121E+00
+91.98400E-03,+2.42324121E+00
+92.01600E-03,+2.42324121E+00
+92.04800E-03,+2.42324121E+00
+92.08000E-03,+2.42324121E+00
+92.11200E-03,+2.42324121E+00
+92.14400E-03,+2.42324121E+00
+92.17600E-03,+2.42324121E+00
+92.20800E-03,+2.42324121E+00
+92.24000E-03,+2.41947236E+00
+92.27200E-03,+2.41896985E+00
+92.30400E-03,+2.42324121E+00
+92.33600E-03,+2.42324121E+00
+92.36800E-03,+2.41947236E+00
+92.40000E-03,+2.41896985E+00
+92.43200E-03,+2.41947236E+00
+92.46400E-03,+2.41896985E+00
+92.49600E-03,+2.42324121E+00
+92.52800E-03,+2.42324121E+00
+92.56000E-03,+2.41947236E+00
+92.59200E-03,+2.41896985E+00
+92.62400E-03,+2.42324121E+00
+92.65600E-03,+2.41947236E+00
+92.68800E-03,+2.41896985E+00
+92.72000E-03,+2.42324121E+00
+92.75200E-03,+2.42324121E+00
+92.78400E-03,+2.42324121E+00
+92.81600E-03,+2.42324121E+00
+92.84800E-03,+2.42324121E+00
+92.88000E-03,+2.42324121E+00
+92.91200E-03,+2.42701005E+00
+92.94400E-03,+2.42374372E+00
+92.97600E-03,+2.41520100E+00
+93.00800E-03,+2.41520100E+00
+93.04000E-03,+2.41896985E+00
+93.07200E-03,+2.42324121E+00
+93.10400E-03,+2.42324121E+00
+93.13600E-03,+2.42324121E+00
+93.16800E-03,+2.41947236E+00
+93.20000E-03,+2.41896985E+00
+93.23200E-03,+2.42324121E+00
+93.26400E-03,+2.42324121E+00
+93.29600E-03,+2.42324121E+00
+93.32800E-03,+2.41947236E+00
+93.36000E-03,+2.41520100E+00
+93.39200E-03,+2.41520100E+00
+93.42400E-03,+2.41896985E+00
+93.45600E-03,+2.42324121E+00
+93.48800E-03,+2.42324121E+00
+93.52000E-03,+2.42324121E+00
+93.55200E-03,+2.42324121E+00
+93.58400E-03,+2.42324121E+00
+93.61600E-03,+2.41947236E+00
+93.64800E-03,+2.41896985E+00
+93.68000E-03,+2.42324121E+00
+93.71200E-03,+2.41947236E+00
+93.74400E-03,+2.41896985E+00
+93.77600E-03,+2.42324121E+00
+93.80800E-03,+2.41947236E+00
+93.84000E-03,+2.41896985E+00
+93.87200E-03,+2.41947236E+00
+93.90400E-03,+2.41520100E+00
+93.93600E-03,+2.41520100E+00
+93.96800E-03,+2.41520100E+00
+94.00000E-03,+2.41520100E+00
+94.03200E-03,+2.41520100E+00
+94.06400E-03,+2.41520100E+00
+94.09600E-03,+2.41143216E+00
+94.12800E-03,+2.41092965E+00
+94.16000E-03,+2.41520100E+00
+94.19200E-03,+2.41520100E+00
+94.22400E-03,+2.41520100E+00
+94.25600E-03,+2.41520100E+00
+94.28800E-03,+2.41520100E+00
+94.32000E-03,+2.41520100E+00
+94.35200E-03,+2.41896985E+00
+94.38400E-03,+2.41947236E+00
+94.41600E-03,+2.41520100E+00
+94.44800E-03,+2.41520100E+00
+94.48000E-03,+2.41520100E+00
+94.51200E-03,+2.41520100E+00
+94.54400E-03,+2.41520100E+00
+94.57600E-03,+2.41143216E+00
+94.60800E-03,+2.41092965E+00
+94.64000E-03,+2.41143216E+00
+94.67200E-03,+2.41092965E+00
+94.70400E-03,+2.41520100E+00
+94.73600E-03,+2.41520100E+00
+94.76800E-03,+2.41143216E+00
+94.80000E-03,+2.40716080E+00
+94.83200E-03,+2.41092965E+00
+94.86400E-03,+2.41143216E+00
+94.89600E-03,+2.41092965E+00
+94.92800E-03,+2.41520100E+00
+94.96000E-03,+2.41520100E+00
+94.99200E-03,+2.41520100E+00
+95.02400E-03,+2.41520100E+00
+95.05600E-03,+2.41520100E+00
+95.08800E-03,+2.41520100E+00
+95.12000E-03,+2.41143216E+00
+95.15200E-03,+2.41092965E+00
+95.18400E-03,+2.41520100E+00
+95.21600E-03,+2.41520100E+00
+95.24800E-03,+2.41143216E+00
+95.28000E-03,+2.40716080E+00
+95.31200E-03,+2.41092965E+00
+95.34400E-03,+2.41143216E+00
+95.37600E-03,+2.40716080E+00
+95.40800E-03,+2.41092965E+00
+95.44000E-03,+2.41143216E+00
+95.47200E-03,+2.40716080E+00
+95.50400E-03,+2.40716080E+00
+95.53600E-03,+2.40716080E+00
+95.56800E-03,+2.40716080E+00
+95.60000E-03,+2.40339196E+00
+95.63200E-03,+2.40288945E+00
+95.66400E-03,+2.40716080E+00
+95.69600E-03,+2.40716080E+00
+95.72800E-03,+2.40716080E+00
